idx,soc_value,component_index,mean,sdev,Q,is_sum,sum_mean,sum_sdev
5,[0.04388889 0.04388889 0.14922222],4,-0.0043689957790469065,1.3420192972739439e-05,0.5970932291789576,0,,
5,[0.04388889 0.04388889 0.14922222],5,0.000679111161698956,5.3531722818227176e-06,0.5970932291789576,0,,
5,[0.04388889 0.04388889 0.14922222],6,-0.00016417765801281426,1.470665343421141e-06,0.5970932291789576,0,,
5,[0.04388889 0.04388889 0.14922222],7,-0.0014500513663894502,4.442570716978305e-06,0.5970932291789576,0,,
5,[0.04388889 0.04388889 0.14922222],sum,0.0010671974918592846,2.91035675881305e-05,0.5970932291789576,1,0.0010671974918592846,2.91035675881305e-05
6,[0.05166667 0.05166667 0.17566667],0,0.00112993734467228,5.548825655171399e-06,0.7666556892820731,0,,
6,[0.05166667 0.05166667 0.17566667],1,0.004081694383281464,1.5485422665571835e-05,0.7666556892820731,0,,
6,[0.05166667 0.05166667 0.17566667],2,0.002184210803750174,1.7064125771413986e-05,0.7666556892820731,0,,
6,[0.05166667 0.05166667 0.17566667],3,-0.0005675788657676056,4.71649243126757e-06,0.7666556892820731,0,,
6,[0.05166667 0.05166667 0.17566667],4,-0.004711493425790127,1.472550078013605e-05,0.7666556892820731,0,,
6,[0.05166667 0.05166667 0.17566667],5,0.0007228364868834236,5.650372053927406e-06,0.7666556892820731,0,,
6,[0.05166667 0.05166667 0.17566667],6,-0.0001849974789984641,1.5597800778849293e-06,0.7666556892820731,0,,
6,[0.05166667 0.05166667 0.17566667],7,-0.0015608382060619949,4.86410103303408e-06,0.7666556892820731,0,,
6,[0.05166667 0.05166667 0.17566667],sum,0.0010937710419691498,3.108980578988974e-05,0.7666556892820731,1,0.0010937710419691498,3.108980578988974e-05
7,[0.05944444 0.05944444 0.20211111],0,0.0011902030546553206,6.008436391320626e-06,0.6190703391275633,0,,
7,[0.05944444 0.05944444 0.20211111],1,0.004409340160807132,1.6663638344178043e-05,0.6190703391275633,0,,
7,[0.05944444 0.05944444 0.20211111],2,0.0022495740039010434,1.8835850164018027e-05,0.6190703391275633,0,,
7,[0.05944444 0.05944444 0.20211111],3,-0.0006470029526978204,5.2828890163564e-06,0.6190703391275633,0,,
7,[0.05944444 0.05944444 0.20211111],4,-0.00502678579476965,1.6099665760498898e-05,0.6190703391275633,0,,
7,[0.05944444 0.05944444 0.20211111],5,0.0007425137838367054,6.215616596919696e-06,0.6190703391275633,0,,
7,[0.05944444 0.05944444 0.20211111],6,-0.00020965613146781587,1.7399114762768523e-06,0.6190703391275633,0,,
7,[0.05944444 0.05944444 0.20211111],7,-0.0016613831530408432,5.3027826694496915e-06,0.6190703391275633,0,,
7,[0.05944444 0.05944444 0.20211111],sum,0.001046802971224071,3.433162364587181e-05,0.6190703391275633,1,0.001046802971224071,3.433162364587181e-05
8,[0.06722222 0.06722222 0.22855556],0,0.001232921292474334,6.328958663599321e-06,0.8675345072431724,0,,
8,[0.06722222 0.06722222 0.22855556],1,0.004695398678398775,1.7318840550994302e-05,0.8675345072431724,0,,
8,[0.06722222 0.06722222 0.22855556],2,0.0023103715132335445,2.045274758104397e-05,0.8675345072431724,0,,
8,[0.06722222 0.06722222 0.22855556],3,-0.0007291607439560229,5.662385907628568e-06,0.8675345072431724,0,,
8,[0.06722222 0.06722222 0.22855556],4,-0.005303445818721035,1.6997980960883507e-05,0.8675345072431724,0,,
8,[0.06722222 0.06722222 0.22855556],5,0.0007598015561101934,6.741473393681541e-06,0.8675345072431724,0,,
8,[0.06722222 0.06722222 0.22855556],6,-0.00023489813363161935,1.8624846939240088e-06,0.8675345072431724,0,,
8,[0.06722222 0.06722222 0.22855556],7,-0.0017477618647033881,5.584383246766179e-06,0.8675345072431724,0,,
8,[0.06722222 0.06722222 0.22855556],sum,0.0009832264792047813,3.723678919561128e-05,0.8675345072431724,1,0.0009832264792047813,3.723678919561128e-05
9,[0.075 0.075 0.255],0,0.0012660518772884208,6.634149216450273e-06,0.08234487745323645,0,,
9,[0.075 0.075 0.255],1,0.004939793749369447,1.7994305642103007e-05,0.08234487745323645,0,,
9,[0.075 0.075 0.255],2,0.0023793702444983487,2.1199974066210566e-05,0.08234487745323645,0,,
9,[0.075 0.075 0.255],3,-0.0007888023460537576,5.936219193434056e-06,0.08234487745323645,0,,
9,[0.075 0.075 0.255],4,-0.005531246436206995,1.7837556106956463e-05,0.08234487745323645,0,,
9,[0.075 0.075 0.255],5,0.0007794735823500633,6.961950806643029e-06,0.08234487745323645,0,,
9,[0.075 0.075 0.255],6,-0.00025243453157082745,1.9420553663804856e-06,0.08234487745323645,0,,
9,[0.075 0.075 0.255],7,-0.001816677263855244,5.839628002199706e-06,0.08234487745323645,0,,
9,[0.075 0.075 0.255],sum,0.000975528875819456,3.818186127698247e-05,0.08234487745323645,1,0.000975528875819456,3.818186127698247e-05
